"feature_id","name","type"
"9620","CDHF9","alias"
"9620","FMI2","alias"
"9620","HFMI2","alias"
"9620","ME2","alias"
"962","BCM1","alias"
"962","BLAST","alias"
"962","BLAST1","alias"
"962","MEM-102","alias"
"962","SLAMF2","alias"
"962","hCD48","alias"
"962","mCD48","alias"
"9619","ABC8","alias"
"9619","WHITE1","alias"
"9618","CART1","alias"
"9618","MLN62","alias"
"9618","RNF83","alias"
"9617","MRF1","alias"
"9617","MTTRF1","alias"
"9617","RF1","alias"
"9616","CKBBP1","alias"
"9616","ROC2","alias"
"9616","SAG","alias"
"9615","CYPIN","alias"
"9615","GUANASE","alias"
"9615","NEDASIN","alias"
"9612","CTG26","alias"
"9612","N-CoR2","alias"
"9612","SMAP270","alias"
"9612","SMRT","alias"
"9612","SMRTE","alias"
"9612","SMRTE-tau","alias"
"9612","TNRC14","alias"
"9612","TRAC","alias"
"9612","TRAC-1","alias"
"9612","TRAC1","alias"
"9611","N-CoR","alias"
"9611","N-CoR1","alias"
"9611","PPP1R109","alias"
"9611","TRAC1","alias"
"9611","hN-CoR","alias"
"961","IAP","alias"
"961","MER6","alias"
"961","OA3","alias"
"9607","CART","alias"
"9605","ATP-BL","alias"
"9605","C16orf7","alias"
"9604","ARA54","alias"
"9604","HFB30","alias"
"9604","HRIHFB2038","alias"
"9604","TRIAD2","alias"
"9603","NRF3","alias"
"9601","ERP70","alias"
"9601","ERP72","alias"
"9601","ERp-72","alias"
"9600","DRES9","alias"
"9600","NIR2","alias"
"9600","PITPNM","alias"
"9600","RDGB","alias"
"9600","RDGB1","alias"
"9600","RDGBA","alias"
"9600","RDGBA1","alias"
"9600","Rd9","alias"
"960","CDW44","alias"
"960","CSPG8","alias"
"960","ECMR-III","alias"
